Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
26c33258777e0ad8c9b8e7051ed667d56d575e4f06c763309c4994731ba2224f,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
4ba5afd30b8dcfae1c82f62c0363978b2a7703933ac681e279b42268cb687c15,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
46ef1764367564fb44f76a0e4a06e0c04c832bead5a034989da223e76f3779a7,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
66936d0cb02f777d0e1531a6bce70e44b3245b343fe00aa21ee7dddee5499329,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
87efc0629865fed42845b133ddcbd7ec1cc161660a2c83449b7d64cc545f77c6,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
2d118eeb3df8b8fef9ad5624c91ad5cbcb42a929d79aa17e64c3b74845e4afa7,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
2b764d293a1f2ee9253d346af0ecd735d823e91dfae3900045bfd84c9cb43ced,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
508dac060f9e6f8b4f4fc9838d3735ac61dbebd16cca1fb88e41ad706424b24b,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given penalty notice
d0c86f7f22c226b034eac0fdd705757b7929098a3389819bba1af1dcace8e437,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
e7ac510ac99709e5574d1251759ce2d64dad977cb45b9569ee6f2ce7d6f1b07d,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
c1a20e882d78ff90f4f5d08e93b4ffcd600517aa3b9ced3c0a91f4e225c935a8,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
1241e30fad63c6a8b5f9418124a453d3a3314a4287aaa8565a1599094600f191,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
525d46f25bb001fa3cd28a2750f9c4194a308a4e2605265a7d5287c9c563b7d6,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
d678fb8e7051861b462a8076c5c08518c8f737980b1ba442619bfe3e6eaab13f,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Further investigation is not in the public interest
7c5a9cd852259a13ca2ff0524df6b9a1d8cf3ab18cdc80d13349a088bf15f6da,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Investigation complete; no suspect identified
a852eae8a91e343f3a1914f93a043542bb8011ccf5b7c6c62d598ff329d4315c,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
9eb4122d2bb26300cdc8897949ab601bdb372db0843a33925f7dfdb833f256ee,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged as part of another case
fdd6ae62b996243171daa11873f1fe482a60666a2f5000712a7ded25c5a8a4d4,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a caution
159d8838a170c7a8604aabb9992576f965860144ad246669699eefd761e9240a,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
52e8031733bd4c5f8c949291d602c8be704ed6a7341fc5bf67b69da6393a08af,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
69dc5159b6c44a161445b88870ef79ed444911f89f793e4810cc254335ae6938,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
4308c4fb959bd84ec8c1f6f30347a7730a8540f2bd9324f69f2b22b8bb748eae,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
c8f8fa9221459f5d3f6853afb77dfe21e38b0cfd8877cd98f82d068f102de41b,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
e3f3697b3a87501225b6ee6586ab95ea6298d31c9cd83c1f975e1841db460a2b,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
e3f3697b3a87501225b6ee6586ab95ea6298d31c9cd83c1f975e1841db460a2b,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
d5b74cd08ce7c725ecfe1e181cc27f990ca269461c434dcdf6d90841f4c4e781,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
4f2afcbe75337c99bf3581b3e68a7f1b82d55fe286b637b13c25471ebeee771e,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
3afcba051de7b67adeb7e8d9d6377c12118b2f701174413a7beeb578383e2eef,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
5db5225ecce1c6009108cd9ccf245b3dd15ffd28e98aa4372ef86271e39079dc,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
1acdae9313e1715e7bfbc17a87846a3fdea47cb8584434514d73a14120f14149,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Offender given a drugs possession warning
e05bb78ccf3f0bdb8c682847c5a4a4bff498ae152151726febb2c3efa8202664,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Local resolution
6a5fe6731fc960762ee39f3b06029f5e711a3b79a6edb4967d4c2473a174ebea,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
a9bdcc994f2c10abe63a3e8e993a83cec93e1f1e40128b84a7f2e9bc232ef013,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
52bb6114d9375d6066b283fe934d562a529211c14be3226a362108fe94765669,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
75572c1c6090246bf5da08af6466b35042ffbeee33fe679100967a826ea475f3,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
176aa208b5e85a4e463eecae171103e786349aac4998a38b4e264a79b67dacd5,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
99eecea1cd21f1b51dc0dced3f678817835c9b538fce61f36aaae633b0af66e5,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Formal action is not in the public interest
a10ff79a19421286573c71a01149b3065f4c19eda3812b07d30807990a7e2ab0,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
92659937dde873a4cd0ab68acec2fcd852172f35d1e7c0dffffec3158b72c30f,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
72ac87c64e1f1314a92bdd1f438a905e31dd47b9ded340e32845795b4280af46,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
deb362e3273cb2f2ab8d9148e1eb888914cecc7b9ac2e23fdfd9cffa9957bcfd,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
683b56fd09485b997ce3a30da05d95abec864f4bd3f391fa9307a7d0c336b24b,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
90c278999438bd8d68f50447294e06397c2fb35559e8172b84d997f257fc5022,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
5c86d81e102ef8342d0c068444a49726de93438025d85c6281c3a3f027054800,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Suspect charged
bc7eb94ee287184bcff68d08f6866bbb85a5252f2b20ef4e4a4f0d05839a7daf,2017-06,Avon and Somerset Constabulary,Avon and Somerset Constabulary,,,No location,,,Unable to prosecute suspect
